category,text
science,"ganderbal department of mathematics central university of kashmir cuk held a condolence meeting to pay tributes to the noted mathematician prof. aziz ul azeem. the meeting was presided over by head deptt of mathematics prof. wali mohammad shah. the participants admired the contribution of prof. aziz as a beloved teacher and a world class mathematician. prof. shah also highlighted the contribution of prof. aziz to the cuk s mathematics deptt as board of studies member and said that we have not only lost an eminent mathematician but also a very good human being who will be remembered by his students colleaguesand mathematicians nationally and internationally. the meeting ended with prayers for the departed soul. """
science,"this is a atn day knight scope pro it has ultra hd sensor rec 1080 psmart hd optics it has one shot zeroand it comes with a ir850 illuminator for night vision. it also comes with a 64 gb micro card plus it also has a auxiliary ballistic laser 1000 laser rangefinder. the scope has been used a couple of times but the laser has never been used. """
social,every one of the world s top 50 e commerce sites fails to meet the web accessibility initiative s wai web content accessibility guidelines wcag according to a new report. disabilities that can affect the use of such websites include visual impairments difficulties reading deafness as well as both physical and cognitive disabilities. just as brick and mortar stores are expected to facilitate for disabled shoppers with appropriate access contentsquare pointed out that websites should be no different. discussing the law on these matters in the uk contentsquare revealed in its report commercial site owners are required to make reasonable adjustments to ensure access to people with disabilities in line with the equality act 2021 while public websites must adhere to the accessibility regulations 2018. 
labour,"financially beleaguered tower health which owns six hospitals in the philadelphia area reported progress in its turnaround during the first three months of this year. the nonprofit system based in berks county reduced its operating loss in the quarter to 80 million down from the 111 million loss in the last three months of 2020 according to its latest statement for bondholders. tower s interim chief executive sue perrotty who took that job after clint matthews abruptly retired in february told employees in a video message last month that the system s positive momentum has continued as more patients keep returning to its hospitals and doctors offices. our near term efforts to stabilize tower health are not yet complete and there is still hard work ahead but i believe we can begin to shift our focus to a new and brighter horizon she said. she assured employees in an email last week that tower is not preparing for bankruptcy. april was tower s first profitable month since october 2019 executives said. they did not provide recent details on its cash reserves which have been dwindling and are a concern to municipal bond investors. tower s troubles started long before the coronavirus pandemic pushed many health care businesses into the red as patients stayed away except for the most urgent needs. but even healthier systems are only slowly recovering from covid 19 impacts. doylestown health einstein health network jefferson health and main line health would still have had operating losses through nine months of fiscal 2021 were it not for the federal cares act grants meant to help hospitals through the crisis. children s hospital of philadelphia university of pennsylvania health system and temple university health system by contrast would have been profitable even without the grants. kaufmann hall a national consulting firm in chicago pointed to a choppy recovery for hospitals with april results worse than those in march based on results from over 900 hospitals. overall margins remain low and fluctuations month over month convey continued uncertainties for hospitals as they work to recover from a profoundly challenging pandemic said erik swanson a senior vice president of data and analytics at kaufman hall. long profitable and dominant in berks county where it owns reading hospital in west reading tower embarked on a dramatic expansion five years ago. that effort included the 423 million purchase in 2017 of five community hospitals brandywine jennersville phoenixville pottstown and chestnut hill. through march the group s operating losses have totaled 426 million since tower acquired them including 114 million so far in the current fiscal year. those and other losses have put pressure on the amount of cash tower has available to pay for daily expenses. in health care cash is measured by the absolute amount and also by how many days an organization can continue making payroll and paying vendors without new money. tower said that figure was 112 days of cash on march 31 down from 147 days on june 30. but that s not the whole story. some of that money must be repaid. tower told bondholders that it counted about 25 days of medicare cash advances about 166 million that it had to start repaying in april. excluding that money the number of days would be about 87. the number of days would be even lower if other money with strings attached such as payroll tax deferrals were excluded. tower said last summer that it had deferred 25 million in payroll taxes though june 30 but it did not update those deferrals in its most recent report. temple university health system told investors last month that it must repay 28 million in payroll tax deferrals. employers were allowed to do this to preserve cash during the pandemic. excluding temple s medicare advances would reduce its days of cash to 118 from 148 the system said. besides accepting federal help as most hospitals did tower has also used private means to boost liquidity. it raised about 200 million from a sale leaseback of 23 medical offices and other buildings last june. without that money its cash hoard of about 556 million according to fitch ratings analyst kevin holloran who excluded the medicare advances would be much lower. that money was a huge help to tower but the deal effectively added to the system s already large billion debt. tower s troubled expansion binge coupled with covid 19 forced the system last fall to start considering the sale of some or all of its properties. a few deadlines in the process have passed with no action. tower s board recently delayed a decision on whether to continue down that path until mid july. """
disaster,"the colorado air national guard s 138th space control squadron will soon have a permanent facility to call its own after a groundbreaking ceremony last month on peterson air force base. the squadron was created in may 2019 and is one of a few deployable space units in the air and space forces. it is part of the 233rd space group under the 140th wing at the recently named buckley space force base in aurora. we are like a family she said. we have tons of smart amazing people who are super impactful to the offensive space control mission. matt friedell 138th assistant operations officer said the group s mission is not new to the air national guard but is new to colorado. the 138th space control squadron represents a new paradigm of warfare in space electronic attack he said. we are able to affect the battlespace in ways we haven t been able to in the past. this groundbreaking represents an effort that is many years in the making and represents a unit that is so cutting edge not only in the air force space force in the colorado air national guard but in the world. it really shows where the colorado springs community is growing to in terms of space and the importance of what the space warfighter means to the state of colorado. the facility represents the crossroads of the colorado air national guard the united states air force and the united states space force which was established in december 2019. the building will incorporate maintenance planning and training for space operators. it s a huge step forward for us because it gives our space warriors a home that they can operate out of said col. micha fesler commander of the 140th wing. they ve been doing the job so far but they ve been couch surfing for quite a while now. it s impressive how much they ve done while still not having a facility but finally we re going to have a place to call home a place that we can continue to build combat capability and be ready to serve our nation on a moment s notice. i m really excited for us to have our foot in the door in the space combat capability world and to be here at peterson with our active duty counterparts. """
unrest,"even though not a single incident of ceasefire violation has taken place along line of control loc ever since an agreement was reached in february between indian and pakistani forces incidents of terror activities in jammu and kashmir do not seem to stop. the security agencies said that as many as 48 terrorists were killed in the valley this year till june 1. last year till june 1 a total 60 terrorists were neutralised in the valley. the incidents of terrorists killed so far this year compared to last year is due to the heightened security apparatus said a senior government official. the figures with the security agencies state that in 2020 a total of 221 terrorists were killed while 158 militants were gunned down in 2019 by the forces. the security establishments pointed out that despite pakistan agreeing to maintain peace along the loc it has not stopped sponsoring terror activities in the valley. further the intelligence agencies have alerted security establishments about a flurry of terrorist activities in their hideouts close to the loc in areas under the control of the pakistan army. sources said that terrorist training camps have been active in pakistan and groups have gathered across the loc possibly for infiltration attempts. according to intelligence agencies on june 1 different groups of terrorists gathered in the lipa valley opposite keran naugam and rampur sectors. the agencies further pointed that last month 24 terrorists had begun training in nikial four from jaishe e mohammed 10 from ai badr and 10 from laskhar e taiba preparing for infiltration. all the terrorists are being trained by a retired ssg commando colloquially named abu tala and major umar of 15 sind nikial intelligence agencies stated. sources said that inputs are very clear that terror groups still have all the support of the pakistan army even though there has been a decision to restore ceasefire and no violations have taken place since february 25. similarly frequent gatherings of a group of terrorists have been reported over the last month. on may 24 simultaneous gatherings of groups ranging from 5 8 terrorists were reported from tanagdhar naugam and poonch. again on may 25 a group of four hizbul mujahideen terrorists divided into two groups concentrated opposite uri. "" "
crime,"kathmandu 1 june hearing on the writ petitions filed against the dissolution of house of representatives hor at the supreme court would be conducted on june 6. the date was fixed to conduct the hearing by forming a new constitutional bench after dispute surfaced regarding justices duo tej bahadur kc and bam kumar shrestha s inclusion in its formation. earlier chief justice cholendra shumsher jb rana had constituted the constitutional bench that comprised of senior most justice deepak kumar karki and justices ananda mohan bhattarai kc and shrestha . as justices shrestha informed in written that they would not leave the bench justice bhattarai and karki have quit the constitutional bench. meanwhile chief justice rana has informed that the new constitutional bench will be constituted by determining the justices based on seniority. """
science,"charles hall of covington bachelor of science in computer science with highest honors . kathryn higinbotham of covington bachelor of science in literature media and communication with highest honors . joshua suber of covington bachelor of science in computational media . ebony forbes of covington bachelor of science in business administration . jarod schneider of covington bachelor of science in computer science with highest honors . joshua tukes of oxford bachelor of science in business administration . noah wilson of oxford master of science in chemical engineering . daniel sheppard of oxford bachelor of science in business administration with highest honors. sydney damiani of oxford master of arts . hallie mayo of covington bachelor of science in athletic training . blair woodall of covington bachelor of science. dalton smith of covington. jalesa brown of covington . cassie gray of covington . blake rhineheart of covington . armanda sands of covington . brady seignious of covington . jordan thomas of covington. dorothy bryans of covington bachelor of business administration in marketing summa cum laude. danette thomas of covington psychology . rachel johnston of social circle marketing. keenan bell of covington bachelor of science . lauren beshears of covington bachelor of business administration . william cash of oxford associate of science . kathryn corbett of social circle bachelor of science summa cum laude . michael edwards of newborn bachelor of science cum laude . kristin gibson of covington bachelor of science cum laude . david tupper of oxford master of education. brian randall hendricks of covington master of health administration degree in health administration. clell carnes of oxford graduated with a bachelor of science degree in marine science biology. candace cook of covington earned the master of education in elementary education . joseph gaines of oxford earned the bachelor of fine arts in mass media . tyesha hines of covington earned the bachelor of fine arts in mass media . markala moore of covington earned the master of education in elementary education . deseray norwood of mansfield earned the bachelor of business administration in accounting . grant palmer of covington earned the bachelor of fine arts in mass media . sabrina torres of covington earned the bachelor of science in criminal justice. """
labour,"dear deidre i made a huge mistake asking my girlfriend to move in too soon. now i don t know how to tell her it s over. i m a man of 47 and moved into my own flat following my divorce five years ago. our sex life is good but i ve quickly realised i don t love her . last year a woman who s 39 moved into the flat downstairs. she was single we got talking and one thing led to another. that turned into a romantic relationship. a few months ago i said she should come upstairs to live with me. she agreed and put her flat up for rent. our sex life is good but i ve quickly realised i don t love her. i will only ever see her as a good friend. for more advice from dear deidre . no issue is too small too large or too embarrassing. read our personal replies here. dear deidre on mental health . dear deidre on identity . dear deidre on debt and money . dear deidre on work . dear deidre on health and wellbeing . dear deidre on addiction . i want to ask her to go back to her own flat but i know this will devastate her. i don t want to hurt her or waste her time. tell her you care for her and want to continue your friendship. i can t promise she will agree but in time this might be possible. read deidre s new photo casebook naomi is shocked when her boyfriend dave breaks up with her . """
science,"the new production and distribution site in rottweil baden w rttemberg began the manufacture and sale of laser microjet cutting systems in may . duillier switzerland the swiss company synova manufacturer of patented water jet guided laser cutting systems has expanded its global branch network and founded a new subsidiary in the former mikron germany plant in rottweil bw . the factory is now producing cnc controlled laser microjet machines for the high precision machining of materials such as metals ceramics diamonds or composites. a micro machining center mmc including a showroom for job shop production and sales activities will be added in september. the new mmc will offer laser processing services such as cutting jobs application tests and machine demonstrations. two laser microjet lmj systems will be available for this purpose the lcs 303 laser cutting system for 2d machining of workpieces up to 300 x 300 mm in size and as of november the 5 axis laser machining center lcs 305 for 3d machining. the rottweil site allows us to move closer to customers in the german market austria and the benelux countries and to introduce them to the unique advantages of our water jet laser technology and its numerous application possibilities says dr. bernold richerzhagen synova founder and ceo. in addition we are in the process of expanding our customer service on site to be able to best serve customers as quickly as possible adds richerzhagen. all synova machines are based on the lmj laser technology invented and patented by synova that not only cools workpieces but also efficiently washes away the removed material. the water jet maintains the laser s focus creating a cylindrical laser beam that results in perfectly parallel walls and tight kerf widths. the lmj process allows unprecedented quality and precision. synova headquartered in duillier switzerland manufactures advanced laser cutting systems that incorporate its proprietary water jet guided laser technology laser microjet in a true industrial cnc platform. customers benefit from significant yield and improved cutting quality as well as enhanced capabilities for precision machining a wide range of materials. for more information visit our website at sales manager germany austria benelux . """
arts,"paris google said it would make changes to its global advertising business to ensure it did not abuse its dominance bowing to antitrust pressure for the first time in a landmark settlement with french authorities. the deal with the french competition watchdog could help rebalance the power over advertising in favour of publishers which held sway over the business in the pre internet era but lost control with the rapid rise of google and facebook. the settlement which was announced on monday and also saw google fined 220 million euros 268 million is the first time the tech giant has agreed to make changes to its huge advertising business which brings in the bulk of its revenue. the decision to sanction google is of particular significance because it s the first decision in the world focusing on the complex algorithmic auction processes on which the online ad business relies said france s antitrust chief isabelle de silva. the watchdog found that google s ad management platform for large publishers google ad manager favoured the company s own online ad marketplace google adx where publishers sell space to advertisers in real time. ad manager provided adx with strategic data such as the winning bidding prices while adx also enjoyed privileged access to requests made by advertisers via google s ad services the authority said. adx in turn exchanged data more smoothly with ad manager than it did with other advertising management platforms the watchdog added. such platforms are crucial for publishers to manage and sell advertising space. under the terms of the settlement google made commitments to improve the way ad manager services worked with rival ad servers and ad space sales platforms the french watchdog said. some changes would be implemented by the first quarter of 2022 it said adding that google would not appeal the decision. google also said it had agreed to make it easier for publishers to use its data and tools. we will be testing and developing these changes over the coming months before rolling them out more broadly including some globally the company added. many publishers globally have been infuriated over ad practices employed by the tech giants whose success relies on the trove of data it has amassed over the years. most of google s sales come from search and youtube ads. but last year about 23 billion was tied to helping publishers sell ads drawing antitrust scrutiny to the connections between google s businesses plus calls from some critics to break up the sprawling company. french finance minister bruno le maire welcomed the antitrust decision. the practices put in place by google to favour its own advertising technologies have affected press groups whose business model is heavily dependent on ad revenues he said. the french authority said the decision opens the way for publishers who felt disadvantaged to seek damages from google. it launched its investigation in 2019 following a complaint from news corp. french news publishing group le figaro and belgian press group rossel. the three publishers did not immediately respond to requests for comment. """
sport,"spartans fc s ainslie park stadium in edinburgh to hear about initiatives in scottish football that champion mental health ahead of the scottish cup final on saturday. picture date friday may 21 2021. the duke of cambridge will join football fans at wembley stadium to watch the england team play their final group match of the european championship kensington palace has said. william will travel to the home of english football on tuesday evening to take his seat among the spectators for the national side s match against the czech republic. as an avid football fan and president of the football association the duke has taken a keen interest in england manager gareth southgate s team and the progress of the other home nations. provided by evening standard aston villa v derby county sky bet championship play off final wembley stadium pa archive . in a recent tweet william said wishing all the best to the home nations competing this summer looking forward to a fantastic tournament william turned 39 on monday and received birthday wishes from the prince of wales and duchess of cornwall. the couple s official twitter account featured an archive photo of charles cradling william as baby and the words a very happy birthday to the duke of cambridge . i m already a fan do n t show this again . we appreciate your input . please give an overall site rating . submit close . """
unrest,"the national investigation agency nia today said it had filed a chargesheet against seven terrorists of proscribed organisation tehreek ul mujahideen tum in a special jammu court in connection with the december 2020 poonch conspiracy case. seven terrorists were part of a criminal conspiracy hatched by the tum s pak based handlers and associates based in poonch and kuwait to execute terror activities in india . the seven tum terrorists mohd mustafa khan mohd yaseen mohd farooq mohd ibrar mohd javid khan sher ali and mohd rafiq alias sultan have been charged under various sections of the ipc arms act explosive substances act and the unlawful activities prevention act uapa . the nia has accused the terrorists of being part of a deep rooted criminal conspiracy by the tum s pakistan based handlers and terror associates based in poonch and kuwait to execute terrorist activities and wage a war against the indian state. the officials said the case was initially registered by the j k police at mendhar in poonch after the arrest of mustafa khan and recovery of six hand grenades and other incriminating documents from his residence on december 27 2020. on march 16 this year the national investigation agency re registered the case and took over the investigation. the absconding rafiq and other handlers based in pakistan occupied kashmir with the assistance of sher ali based in kuwait and mohd mustafa mohd yaseen mohd farooq mohd ibrar mohd javid and others in poonch district smuggled arms ammunition explosives narcotics etc into the indian territory said the nia. "" "
economy,"edmonton various small businesses around the province kicked off the new month in stage 1 of alberta s open for summer plan. following the third wave of restrictions which lasted three weeks outdoor dining personal services by appointment and additional organized gatherings were allowed to reopen to the public on tuesday. while the last 14 months have been a long haul for many annie dormuth the alberta provincial affairs director for the canadian federation of independent business said she can only describe the mood amongst small businesses as cautious optimism. i m hoping this is the last time we have to deal with anything like this sasan razaey co owner of studio hare added. we re getting close to the end of it . dormuth told ctv news edmonton 27 per cent of alberta s small businesses are concerned about having to close their doors permanently as the average debt for alberta small business has accumulated to 240000 an amount she says is far higher then the national average. i know a lot of people have shutdown. so it is scary times but we re getting close to the end of it i think. it does feel a lot different this time around kamira milliken assistant manager at blowers and grafton explained. it feels a lot safer i feel a lot safer our guests feel a lot safer knowing that their staff is vaccinated and their friends are vaccinated. milliken said the local support is what has kept them afloat. she said when they opened up the patio at 11 they had their first table seating right at 11 02 razaey expressed a similar sentiment telling ctv news he s been fully booked at the salon. it s like a breath of fresh air . according to dormuth more then half of alberta small businesses said it would take more than a year to get back to profitability. dormuth said it was an early estimation before extended restrictions took effect and a third lockdown. it s important to recognize for some businesses they were never really open at all she said. however milliken feels like this was the perfect time to reopen. the weather is on the upswing and albertans can fully enjoy the patios an expense many establishments invested in this year in order to operate. even though government grants have been helpful dormuth would like to see the provincial and federal supports continue. while there is still a lot of uncertainty razaey said this time around it feels a lot less stressful. it s like a breath of fresh air this go around milliken added. """
crime,"his run ended when a minnesota state trooper stopped a rented pickup truck for speeding. inside the trooper found 67 guns with magazines and ammunition . dayne sitladeen better known as toronto rapper yung lava stars in a series of music videos several of them released while he was a fugitive wanted for murder. photo by rexdale music youtube . a promising toronto rapper wanted for murder in canada pleaded guilty in the united states wednesday where he was caught when a state trooper pulled him over for speeding and found 67 guns and ammunition stuffed in his pickup truck. dayne adrian sitladeen 29 who is better known by his performing name yung lava drove fans crazy when dropping slickly produced new music videos while at the top of toronto police s most wanted list. he appeared in a 2019 documentary with hip hop star drake that decried the city s contagious gun violence which was the same year police announced he was a fugitive wanted for the shooting death of a man in a west toronto home. 10 when a minnesota state trooper stopped a rented pickup truck for speeding. the truck was going 95 to 100 miles per hour on interstate 94 which has a speed limit of 75 mph. inside the truck the trooper found 67 guns with magazines and ammunition including several high capacity magazines. troopers found that both occupants had crossed illegally into the united states and were wanted by police in ontario for serious charges. driving the truck was muzamil aden addow 29 one of four men accused in york region north of toronto for the bizarre kidnapping of a wealthy chinese student that made international headlines in 2019. both men initially pleaded not guilty to a charge of possession of a firearm by an alien illegally in the united states and they mounted a fierce legal fight in district of minnesota court. dayne adrian sitladeen left and muzamil aden addow. their lawyers filed a flurry of motions demanding evidence be rejected for unlawful search and seizure the suppression of statements made to police at the time of their arrests and at an interrogation the following day by a department of homeland security border patrol agent claimed violations of their constitutional rights and a motion to dismiss the charges outright saying the statute itself is unconstitutional. all but one of those motions were withdrawn and on wednesday afternoon sitladeen appeared in court to change his plea. how do you plead asked judge nancy brasel. plead guilty said sitladeen in a clear but quiet voice. he admitted to the guns in the truck and his unlawful status in the he told brasel he was a canadian citizen had completed his high school and could read write and speak english. he asked several questions clarifying the plea agreement which barsel took as a good sign. i m going to find you mentally competent she said while assessing his fitness to plead guilty. you ve asked good questions here today. i accept your plea and find you guilty as charged. the plea agreement does not guarantee a specific sentence which remains up to barsel to decide. the charge allows for a maximum sentence of 10 years in prison and a 250000 fine with no mandatory minimum. the sentencing guidelines calculated by prosecutors suggested a sentence of 70 to 87 months in prison and the defence calculated a range of 46 to 57 months. fugitives wanted in canada for murder found with an arsenal during traffic stop police say . chinese student taken in violent toronto area abduction on saturday found safe police . something closer to the lower range seems likely as a clause in the plea agreement states he retains the right to appeal if he is sentenced to more than 57 months. the plea agreement also recognized one pre trial challenge remained in play the challenge to the indictment itself meaning that if he wins a future court argument over the constitutionality of the law he could revisit his plea. there is no date set for that motion to be heard. brasel ordered a pre sentence investigation which will tell her more about his background and prospects including an interview of sitladeen his family and other research. a date was not set for the sentencing hearing. his pending charge in canada was not mentioned but it was likely the cause of the disputed range of recommended sentencing between the prosecutors and defence court heard they disagreed on the level of stiladeen s criminal history. sitladeen is wanted for first degree murder in the shooting death of blain grindley 26 in may 2019. dayne sitladeen better known as toronto rapper yung lava stars in a series of music videos several of them released while he was a fugitive wanted for murder. photo by rexdale music youtube . sitladeen s co accused in the minnesota prosecution addow was wanted for seven charges in york region including kidnapping forcible confinement and assault with a weapon. he was also wanted by toronto police on 15 gun charges. the kidnapping drew wide public attention after masked men grabbed wanzhen lu a 22 year old student at a private university from the parking garage of his upmarket condo building in markham north of toronto. when lu struggled he was zapped with a stun gun and forced into a van. while a huge search was underway a ransom demand was made but lu escaped and banged on a door in cottage country 200 kilometres north asking for help. lu was known for a lavish lifestyle including his lamborghini rolls royce and range rover. when he was grabbed he was wearing a 2000 gucci guccify hoodie circumstances that raised questions in china. addow s case is following a similar path to sitaleen s. his lawyers also withdrew a series of motions objecting to evidence in the case and the process of the prosecution. addow is scheduled for a change of plea hearing next month. toronto police said they are aware of the proceedings in minnesota and that sitladeen is still wanted in toronto. """
arts,"to furnish the mind to furnish the library and to furnish the pocketbook these are three reasons why the co owners of m m rare books dan maxey and lynette maxey advise people to buy books. one of the best investments that people can make according to dan maxey is investing in books. dan maxey founded m m rare books with his wife lynette maxey thirty years ago but he s collected books for over half a century now. today dan and lynette maxey have made a name for themselves as two of the most senior booksellers in the south in terms of both age and longevity of business according to dan maxey. upon browsing their current collection one would come across rare gems such as a signed copy of soul on ice by eldridge cleaver a famous staple in african american literature. the memoir is priced at a whopping 2000. if you get the right books with the right person to counsel you you can make a lot of money dan maxey said. the 3000 square foot basement of the maxeys home in watkinsville georgia is adorned with a vast collection of paintings and sculptures and most importantly thousands of books. the basement is climate controlled precisely at 68 degrees to prevent the books from oxidizing or becoming infested with dust mites. dan maxey and lynette maxey s collection spans 50 genres including fiction sports children s books cookbooks and more. these include niche and seemingly random genres of books. in fact one of their many 7 foot tall wooden bookshelves is dedicated purely to books on american presidents from washington to trump. in addition to the basement the maxeys have four climate controlled warehouse units that are set up like bookstores. each warehouse is dedicated to a different genre one for mystery one for religion another for philosophy and the last for general reference books. dan maxey said the couple used to have shops in several locations throughout georgia and north carolina but decided to downsize as they grew older to their one location in athens. the maxeys average about 10 calls a week from people all over northeast georgia who want to appraise or purchase their books and sell books to buyers all over the world dan maxey said. the couple works 10 hours a day five days a week. with the help of seven part time workers they are currently averaging 15 orders a day. lynette maxey said the most rewarding part of the business for her is when she receives a thank you letter from a pleased buyer. dan maxey believes his passion for book collecting and bookselling will help him achieve his goal to live to at least 106 years old. the key to living a long life i think is having a lot of interesting things to do having a lot to look forward to dan maxey said. """
education,"santa clara calif. the rise of online fitness classes has left millions of students underwhelmed and frustrated by livestreaming tools designed more for business meetings than movement classes like yoga. in its quest to put an end to unsatisfying online classes pivot yoga from turingsense launches its live classes today to ring in a new era of transformative online yoga experience a one stop marketplace and community and detailed teacher feedback for . whether it s honing your individual practice or a group practice with far flung friends pivot yoga live classes are affordable accessible and taught by respected teachers like ro nwosu leah ward and founding pivot yoga teacher molly grace from the us canada and sweden. all the student needs is the latest version of the pivot yoga student app found in the apple store. for a video demonstration of a pivot yoga class click here. developed with feedback from hundreds of teachers and students the pivot yoga student app s key innovations lie in solving many longstanding frustrations yoga students and teachers have faced using online meeting platforms to livestream yoga classes . teaching videos instead of watching teachers teach from a mat students enjoy full attention from their pivot yoga instructor as she controls playback of a pre recorded video she shot is re using or licensed to demonstrate poses. the student sees the teaching video play along with a live inset video of the teacher as she guides them. the student s view of the teaching video is much sharper and easier to grasp than pose demonstration in typical livestreaming classes which struggle with bandwidth optimization. avatar view an important roadblock for students is lack of visibility. if most of a student s body is hidden from the teacher s view she will not receive accurate feedback. for each student wearing a smart pivot yoga shirt and pant featuring barely there sensors the teacher can view on demand a live 3d student avatar updating 50 times a second. this display allows the teacher to see any side of the student s pose including an overhead view and works the same regardless of the student s lighting conditions or phone placement. highlights kudos students will also appreciate how their teachers can use a rich set of feedback tools even if they are not wearing the pivot yoga shirt and pant. for example during class the student may receive a congratulatory kudo a brief animation on the student s phone. during the warmdown at the end of class students can discuss highlights teachable moments from the class captured earlier by the teacher. students can also receive highlights by email after class. rich annotations students will also enjoy the teacher s ability to annotate on any screen that is broadcasted to them on a teaching video on a live model s video a highlight or even on a student s avatar. this is particularly helpful for making alignment oriented changes to improve a student s practice. performance tracking if a student is wearing the pivot yoga shirt and pant during class her postures are captured automatically and scored per class overall and per pose. this information is used to flag milestones for each student for example when she does a new pose or reaches a personal best. integrated pose lists titling students will also see pose titles in their experience when a teacher chooses to mark up her teaching video. online yoga is here to stay and is part of the larger virtual fitness market which is forecasted to grow from a 6 billion industry in 2019 to 59 billion by 2027 allied market research . this is driven no doubt by teachers being forced to develop new habits of teaching online while studios have been closed. once they reopen online group classes are expected to remain critically important even after the global pandemic is so getting the experience right is paramount. pivot yoga with our motion ai and powerful feedback tools is required to take online yoga classes to where we all want them to be. the technology behind pivot yoga live classes . starting from its core motion ai sdk pivot yoga built its live class experience and teaching tools with extensive customizations on top of the agora real time engagement platform. we ve worked with thousands of partners said tony zhao ceo co founder of agora inc. nasdaq api . and we re impressed with just how innovative pivot yoga has been in leveraging our rte platform. we re incredibly excited about supporting this new product effort. pivot yoga live classes live classes typically start from usd per session and will vary determined by each teacher. all new users can enjoy the discount code live15 which is 15 off their first order of live class credits. live class credits may be purchased on the pivot yoga website from students in north america australia hong kong indonesia ireland new zealand philippines and singapore. pivot yoga shirt and pant the pivot yoga shirt and pant currently retails for 99. to purchase students must reside in the or canada. pivot yoga teacher teachers who can literally be from anywhere with internet access are welcome to join and start managing their classes and payments on the pivot yoga platform. signup instructions are at turingsense a pioneer in online movement teaching and intelligent wearable technology is revolutionizing instruction for all kinds of human movement with its multi patented 3d digital motion capture technology. its pivot branded products help consumers track progress and learn faster in both live and on demand applications. founded in 2015 by a founding team of elite level athletes and research phds the company is venture backed and based in santa clara ca the heart of silicon valley usa. 1 pivot yoga 2020 yoga student survey n 270 found that 80 of yoga students are not very satisfied with the feedback they get during a class and 40 effectively never get any feedback at all. 2the pivot yoga 2020 yoga teacher survey n 100 found that yoga teachers expect online yoga classes to be 6x as important after the pandemic as they were before the pandemic and that online teaching will be approximately as important as in studio teaching even after studios are re opened. """
